l_id;wkt_srid_4326;24 Hous rel;24 Hours abs;cap;;;;;;;;;;;;;;;
l1;"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)";0.036840032;18.05161564;490;;l1;"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)";;;;;;;;;;l1;43.33345505;137.0027867
l2;"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)";0.06693673;113.792441;1700;;l2;"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)";;;;;;;;;;l2;212.3858754;462.3941329
l3;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)";0.938674751;459.9506282;490;;l3;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)";;;;;;;;;;l3;123.1608727;160.7949381
l4;"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,10.3662749375017 52.2846467462009)";0.402214361;683.7644145;1700;;l4;"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,10.3662749375017 52.2846467462009)";;;;;;;;;;l4;51.11955255;91.81249991
l5;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.3787705903765 53.2197927685849)";0.429694186;730.4801155;1700;;l5;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.3787705903765 53.2197927685849)";;;;;;;;;;l5;422.7100294;648.6692646
l6;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2061029867985 52.6571362773373)";0.096273933;47.17422718;490;;l6;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2061029867985 52.6571362773373)";;;;;;;;;;l6;61.93240615;134.1855854
l7;"SRID=4326;LINESTRING(13.2061029867985 52.6571362773373,13.7096697058228 52.5397952580643)";0.052385133;25.66871536;490;;l7;"SRID=4326;LINESTRING(13.2061029867985 52.6571362773373,13.7096697058228 52.5397952580643)";;;;;;;;;;l7;50.58457914;181.007493
l8;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.7096697058228 52.5397952580643)";0.071546843;35.05795302;490;;l8;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.7096697058228 52.5397952580643)";;;;;;;;;;l8;56.60205818;174.3476827
l9;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8132328973194 48.2212664654998)";0.113939775;55.83048967;490;;l9;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8132328973194 48.2212664654998)";;;;;;;;;;l9;16.13206538;16.13206538
l10;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";0.118223904;200.9806362;1700;;l10;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";;;;;;;;;;l10;111.368921;111.9313786
l11;"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)";0.181730452;308.9417676;1700;;l11;"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)";;;;;;;;;;l11;67.38550019;94.88019539
l12;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.6834769666546 54.1390906406635)";0.228555789;388.5448414;1700;;l12;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.6834769666546 54.1390906406635)";;;;;;;;;;l12;236.0930022;526.2875456
l13;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.7096697058228 52.5397952580643)";0.227105492;386.0793362;1700;;l13;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.7096697058228 52.5397952580643)";;;;;;;;;;l13;210.0558285;506.7954622
l14;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";0.11809601;200.7632178;1700;;l14;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";;;;;;;;;;l14;111.2484435;111.8102926
l15;"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8681562938884 48.2068029185353)";0.20968314;205.4894774;980;;l15;"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8681562938884 48.2068029185353)";;;;;;;;;;l15;970.3857074;980
l16;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.2939727001158 48.0520427719624)";0.081892223;40.12718947;490;;l16;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.2939727001158 48.0520427719624)";;;;;;;;;;l16;67.81539925;209.4483218
l17;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)";0.248991083;423.2848403;1700;;l17;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)";;;;;;;;;;l17;141.396322;428.8271902
l18;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)";0.292367914;497.0254537;1700;;l18;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)";;;;;;;;;;l18;133.820632;208.4359369
l19;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.98853660865951 53.766277668594)";0.26195639;128.3586312;490;;l19;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.98853660865951 53.766277668594)";;;;;;;;;;l19;318.5341152;476.4520713
l20;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.72699196993402 54.2914209867842)";0.268462437;131.546594;490;;l20;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.72699196993402 54.2914209867842)";;;;;;;;;;l20;151.8466623;292.4531158
l21;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.34400177215961 53.8517774635399)";0.11968098;203.4576663;1700;;l21;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.34400177215961 53.8517774635399)";;;;;;;;;;l21;117.9756912;140.8374593
l22;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.20210420095253 53.8951574100045)";0.431021246;732.7361182;1700;;l22;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.20210420095253 53.8951574100045)";;;;;;;;;;l22;591.475002;885.7398825
l23;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.52960512906833 53.6189906941937)";0.321706572;157.6362201;490;;l23;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.52960512906833 53.6189906941937)";;;;;;;;;;l23;28.39767768;93.50650594
l24;"SRID=4326;LINESTRING(9.77654483874895 53.6906352606291,9.98853660865951 53.766277668594)";0.34660954;169.8386744;490;;l24;"SRID=4326;LINESTRING(9.77654483874895 53.6906352606291,9.98853660865951 53.766277668594)";;;;;;;;;;l24;62.25389385;209.5928807
l25;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.1575015165126 53.5551316685834)";0.201861734;343.1649482;1700;;l25;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.1575015165126 53.5551316685834)";;;;;;;;;;l25;140.0304626;194.218925
l26;"SRID=4326;LINESTRING(10.3787705903765 53.2197927685849,10.3821666628198 52.9932540372914)";0.23837668;405.2403562;1700;;l26;"SRID=4326;LINESTRING(10.3787705903765 53.2197927685849,10.3821666628198 52.9932540372914)";;;;;;;;;;l26;220.2995946;336.7544335
l27;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,9.34476098807139 53.9218370583068)";0.510913802;868.5534626;1700;;l27;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,9.34476098807139 53.9218370583068)";;;;;;;;;;l27;98.24362446;258.2261658
