l_id;wkt_srid_4326;24 Hous rel;24 Hours abs;100 Hours average abs;100 Hours max abs;100 Hours max average rel;cap;;;;;;;;;;;;;;;
l65;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.41937105938048 49.6337356823792)";0.18879192;320.9462644;193.0569365;369.5917056;0.217406886;1700;;l65;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.41937105938048 49.6337356823792)";;;;;;;;;;l65;193.0569365;369.5917056
l66;"SRID=4326;LINESTRING(8.38855636787547 49.9823050841271,8.41937105938048 49.6337356823792)";0.234387708;398.4591038;235.053262;443.7001123;0.261000066;1700;;l66;"SRID=4326;LINESTRING(8.38855636787547 49.9823050841271,8.41937105938048 49.6337356823792)";;;;;;;;;;l66;235.053262;443.7001123
l67;"SRID=4326;LINESTRING(12.2621734868101 51.7410202755519,11.8942661378135 51.4057031412478)";0.040353225;68.60048321;101.725561;264.4556895;0.15556217;1700;;l67;"SRID=4326;LINESTRING(12.2621734868101 51.7410202755519,11.8942661378135 51.4057031412478)";;;;;;;;;;l67;101.725561;264.4556895
l68;"SRID=4326;LINESTRING(13.1570904871893 51.8284516615019,13.9024346886892 51.8747235190459)";0.304557764;517.7481984;239.0923423;452.6592732;0.266270161;1700;;l68;"SRID=4326;LINESTRING(13.1570904871893 51.8284516615019,13.9024346886892 51.8747235190459)";;;;;;;;;;l68;239.0923423;452.6592732
l69;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.5165549672107 51.5843592098734)";0.038419429;65.31302908;94.12982518;238.666956;0.140392327;1700;;l69;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.5165549672107 51.5843592098734)";;;;;;;;;;l69;94.12982518;238.666956
l70;"SRID=4326;LINESTRING(11.8942661378135 51.4057031412478,11.5165549672107 51.5843592098734)";0.208862464;355.0661895;198.435668;395.6207614;0.232718095;1700;;l70;"SRID=4326;LINESTRING(11.8942661378135 51.4057031412478,11.5165549672107 51.5843592098734)";;;;;;;;;;l70;198.435668;395.6207614
l71;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.8942661378135 51.4057031412478)";0.031802056;54.06349546;86.4436934;208.0076675;0.122357451;1700;;l71;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.8942661378135 51.4057031412478)";;;;;;;;;;l71;86.4436934;208.0076675
l72;"SRID=4326;LINESTRING(8.70221844882815 51.7363525828065,8.99279240395088 51.343009397907)";0.046272977;78.6640604;103.695662;215.1516057;0.126559768;1700;;l72;"SRID=4326;LINESTRING(8.70221844882815 51.7363525828065,8.99279240395088 51.343009397907)";;;;;;;;;;l72;103.695662;215.1516057
l73;"SRID=4326;LINESTRING(8.70221844882815 51.7363525828065,8.99279240395088 51.343009397907)";0.046272977;78.6640604;103.695662;215.1516057;0.126559768;1700;;l73;"SRID=4326;LINESTRING(8.70221844882815 51.7363525828065,8.99279240395088 51.343009397907)";;;;;;;;;;l73;103.695662;215.1516057
l74;"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,9.25938382024592 51.0603668474477)";0.09359664;159.1142882;145.1294199;529.3048143;0.311355773;1700;;l74;"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,9.25938382024592 51.0603668474477)";;;;;;;;;;l74;145.1294199;529.3048143
l75;"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,9.25938382024592 51.0603668474477)";0.09359664;159.1142882;145.1294199;529.3048143;0.311355773;1700;;l75;"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,9.25938382024592 51.0603668474477)";;;;;;;;;;l75;145.1294199;529.3048143
l76;"SRID=4326;LINESTRING(13.1570904871893 51.8284516615019,11.8942661378135 51.4057031412478)";0.09801437;166.6244298;176.1957423;326.2985837;0.191940343;1700;;l76;"SRID=4326;LINESTRING(13.1570904871893 51.8284516615019,11.8942661378135 51.4057031412478)";;;;;;;;;;l76;176.1957423;326.2985837
l77;"SRID=4326;LINESTRING(13.6834769666546 54.1390906406635,13.1433929102518 53.9081469774219)";0.074882844;127.3008356;112.6950282;368.6605069;0.216859122;1700;;l77;"SRID=4326;LINESTRING(13.6834769666546 54.1390906406635,13.1433929102518 53.9081469774219)";;;;;;;;;;l77;112.6950282;368.6605069
l78;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.3057532949594 52.2307818451873)";0.069747552;34.1763004;49.37853373;132.5681351;0.270547215;490;;l78;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.3057532949594 52.2307818451873)";;;;;;;;;;l78;49.37853373;132.5681351
l79;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.9024346886892 51.8747235190459)";0.026999313;45.89883157;68.87268004;323.4831381;0.190284199;1700;;l79;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.9024346886892 51.8747235190459)";;;;;;;;;;l79;68.87268004;323.4831381
l80;"SRID=4326;LINESTRING(13.3057532949594 52.2307818451873,13.9024346886892 51.8747235190459)";0.072513816;35.5317696;66.83739476;180.4892604;0.368345429;490;;l80;"SRID=4326;LINESTRING(13.3057532949594 52.2307818451873,13.9024346886892 51.8747235190459)";;;;;;;;;;l80;66.83739476;180.4892604
l81;"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,11.1228545605428 50.9989090670144)";0.075398539;128.1775171;125.2295242;185.5349693;0.109138217;1700;;l81;"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,11.1228545605428 50.9989090670144)";;;;;;;;;;l81;125.2295242;185.5349693
l82;"SRID=4326;LINESTRING(14.4719654742998 51.5538127185923,14.5081091811329 51.4137103812427)";0.040407595;68.69291147;202.2056608;348.2234747;0.204837338;1700;;l82;"SRID=4326;LINESTRING(14.4719654742998 51.5538127185923,14.5081091811329 51.4137103812427)";;;;;;;;;;l82;202.2056608;348.2234747
l83;"SRID=4326;LINESTRING(14.4719654742998 51.5538127185923,14.5081091811329 51.4137103812427)";0.04043882;68.74599477;202.3619178;348.4925687;0.204995629;1700;;l83;"SRID=4326;LINESTRING(14.4719654742998 51.5538127185923,14.5081091811329 51.4137103812427)";;;;;;;;;;l83;202.3619178;348.4925687
l84;"SRID=4326;LINESTRING(14.4281804852225 51.8888641394403,14.4719654742998 51.5538127185923)";0.036937625;62.79396314;186.6128038;336.0955216;0.197703248;1700;;l84;"SRID=4326;LINESTRING(14.4281804852225 51.8888641394403,14.4719654742998 51.5538127185923)";;;;;;;;;;l84;186.6128038;336.0955216
