v_id;lon;lat;typ;voltage;frequency;name;operator;ref;wkt_srid_4326
62;8.820024885;53.10738831;substation;"220000;110000";50;Umspannwerk Blockland;swb Netze GmbH & Co. KG;;"SRID=4326;POINT(8.82002488536158 53.1073883123751)"
63;8.120618267;48.70535272;substation;"220000;110000";50;Bühl;EnBW;;"SRID=4326;POINT(8.12061826655718 48.7053527235337)"
64;11.44077466;48.17180357;substation;"380000;110000";;Hauptumspannwerk Menzing;Stadtwerke München;MZ;"SRID=4326;POINT(11.4407746571386 48.1718035686213)"
65;13.32640507;50.34637221;substation;"400000;220000";;Hradec;ČEPS;;"SRID=4326;POINT(13.3264050703954 50.3463722141376)"
66;12.11476993;49.63115224;substation;"380000;110000";;Umspannwerk Etzenricht;"Tennet;EON_Netz";ETZ;"SRID=4326;POINT(12.1147699347953 49.6311522364994)"
67;8.695160765;53.09253613;substation;"380000;110000";50;Niedervieland;Wesernetz;NVLD;"SRID=4326;POINT(8.69516076534637 53.0925361336519)"
68;8.772442992;49.97466868;substation;"380000;220000;110000";;Umspannwerk Urberach;RWE;;"SRID=4326;POINT(8.77244299222179 49.9746686767501)"
69;8.419371086;49.63373577;substation;"380000;220000";50;Station Bürstadt;RWE;;"SRID=4326;POINT(8.41937108566179 49.6337357665925)"
70;8.388556431;49.98230509;substation;"380000;110000";;Umspannstation Bischofsheim;"RWE; Kraftwerke Mainz-Wiesbaden";;"SRID=4326;POINT(8.38855643052221 49.9823050863709)"
71;12.26217354;51.74102028;substation;"380000;110000";50;Umspannwerk Marke;50Hertz;;"SRID=4326;POINT(12.262173544509 51.7410202813412)"
72;11.89426621;51.40570318;substation;"380000;110000";50;Umspannwerk Lauchstädt;"50Hertz;enviaM";;"SRID=4326;POINT(11.8942662085419 51.4057031779769)"
73;13.15709052;51.82845168;substation;380000;50;Umspannwerk Schönewalde;50Hertz;;"SRID=4326;POINT(13.1570905224719 51.8284516784236)"
74;13.90243471;51.87472353;substation;"380000;110000";50;Umspannwerk Ragow;50Hertz;RAG;"SRID=4326;POINT(13.9024347133056 51.874723530085)"
75;11.516555;51.58435922;substation;"380000;110000";50;Umspannwerk Klostermansfeld;50Hertz;;"SRID=4326;POINT(11.5165549994374 51.5843592162484)"
76;8.70221847;51.73635259;substation;"380000;110000";;Umspannwerk Elsen;TenneT;;"SRID=4326;POINT(8.70221847039735 51.7363525890089)"
77;8.992792439;51.34300941;substation;"380000;110000";50;Umspannwerk Twistetal;Eon_Netz;;"SRID=4326;POINT(8.99279243937742 51.3430094105575)"
78;11.64637869;50.53487699;substation;"380000;220000;110000";50;Umspannwerk Remptendorf;50Hertz Transmission GmbH;"RDF;RE";"SRID=4326;POINT(11.6463786860412 50.5348769896165)"
79;14.47196547;51.55381277;substation;"380000;110000";50;Graustein;"50Hertz_Transmission;enviaM";GRS;"SRID=4326;POINT(14.4719654746961 51.5538127702297)"
80;14.50810921;51.4137104;substation;380000;50;Umspannwerk Bärwalde;50Hertz;;"SRID=4326;POINT(14.5081092115389 51.4137104048148)"
81;14.42818053;51.88886418;substation;"380000;110000";50;Umspannwerk Preilack;50Hertz;PRL;"SRID=4326;POINT(14.4281805295455 51.888864175856)"
82;8.141913836;53.56400118;plant;;;Uniper Kraftwerk Wilhelmshaven;EON_Netz;;"SRID=4326;POINT(8.14191383627294 53.5640011817982)"
83;10.15628252;54.27554828;substation;"220000;110000";50;Kiel-Süd;"EON_Netz;TenneT";;"SRID=4326;POINT(10.1562825155965 54.2755482828972)"
84;10.17735414;54.33952128;generator;;;Gemeinschaftskraftwerk Kiel;"E.ON Kraftwerke GmbH;Stadtwerke Kiel AG";;"SRID=4326;POINT(10.1773541417844 54.3395212774033)"
85;7.034967966;52.20286078;substation;"380000;220000;110000";;Station Gronau;RWE;;"SRID=4326;POINT(7.03496796550368 52.2028607768236)"
86;7.308247816;52.47679016;substation;"380000;220000;110000";50;Hanekenfähr;Amprion;;"SRID=4326;POINT(7.30824781629083 52.4767901583642)"
87;7.060344762;51.69649808;substation;"380000;220000;110000";50;Station Kusenhorst;RWE;;"SRID=4326;POINT(7.06034476225792 51.6964980793073)"
88;6.674675359;51.32495749;substation;"220000;110000";;Station Gellep;RWE;;"SRID=4326;POINT(6.67467535942029 51.324957491388)"
89;6.723767179;51.3556544;substation;"220000;110000";50;Station Mündelheim;RWE;;"SRID=4326;POINT(6.72376717933502 51.3556543954881)"
90;7.545717753;51.97032445;substation;"380000;110000";50;Station Roxel;RWE;;"SRID=4326;POINT(7.54571775348996 51.9703244532995)"
91;7.304601207;52.48179092;plant;;;Erdgaskraftwerk Emsland;RWE AG;;"SRID=4326;POINT(7.30460120682915 52.4817909166958)"
92;7.304338801;52.482426;substation;380000;;;;;"SRID=4326;POINT(7.30433880131157 52.4824259961208)"
93;7.277153974;52.75324262;substation;"380000;110000";50;Meppen;TenneT;MEPP;"SRID=4326;POINT(7.27715397426964 52.7532426203196)"
94;8.307756962;52.34563578;substation;"380000;220000;110000";50;Wehrendorf;Amprion;;"SRID=4326;POINT(8.30775696202904 52.3456357754793)"
95;7.889576738;52.27739678;substation;"380000;220000;110000";50;Station Westerkappeln;Amprion;;"SRID=4326;POINT(7.88957673752775 52.2773967844269)"
96;7.317849977;52.46911151;substation;220000;50;Benteler Stahlwerk;;;"SRID=4326;POINT(7.31784997667688 52.4691115144199)"
97;13.33528042;49.58968987;substation;"400000;220000;110000";50;Rozvodna Přeštice;ČEPS;;"SRID=4326;POINT(13.3352804208787 49.5896898733245)"
98;12.21477351;54.10032348;substation;380000;50;Bentwisch HGÜ;50Hertz Transmission;;"SRID=4326;POINT(12.2147735094259 54.1003234808405)"
99;6.996476623;49.37540932;substation;"380000;220000;110000";50;Umspannwerk Uchtelfangen;Amprion;;"SRID=4326;POINT(6.99647662277982 49.3754093214106)"
100;6.474739813;49.92246931;substation;"380000;220000;110000";50;Station Niederstedem;"Amprion; Westnetz";;"SRID=4326;POINT(6.4747398132316 49.9224693104147)"
101;11.69939274;53.57227449;substation;380000;;Wessin;50Hertz;;"SRID=4326;POINT(11.6993927384808 53.5722744896829)"
102;11.37063742;53.60099109;substation;"380000;110000";50;Görries;"50Hertz;EON_edis";Gös;"SRID=4326;POINT(11.3706374165175 53.6009910913085)"
103;6.948210967;51.44457589;substation;"380000;110000";;Station Rosenblumendelle;RWE;;"SRID=4326;POINT(6.94821096676896 51.4445758936096)"
104;6.926758986;51.4992057;substation;"380000;220000";50;Station Büscherhof;RWE;;"SRID=4326;POINT(6.92675898550662 51.4992056970517)"
