l_id;wkt_srid_4326;;;;;;;
l102;"SRID=4326;LINESTRING(6.92675898550662 51.4992056970517,6.94821096676896 51.4445758936096)";0.119618454;203.3513726;1700;1;;-203.3513726;203.3513726
l103;"SRID=4326;LINESTRING(6.68079563463015 51.6462972769253,7.06034476225792 51.6964980793073)";0.236604015;402.2268249;1700;1;;-402.2268249;402.2268249
l104;"SRID=4326;LINESTRING(7.16721463545721 51.3899067765993,7.12557294579876 51.4489772806916)";0.439638319;747;1700;1;;747.3851416;747.3851416
l105;"SRID=4326;LINESTRING(6.99606886995841 51.5141696109019,7.12557294579876 51.4489772806916)";0.002424258;4.121239355;1700;1;;-4.121239355;4.121239355
l106;"SRID=4326;LINESTRING(7.31318287435069 51.4466114132712,7.16721463545721 51.3899067765993)";0.097103011;165.075118;1700;1;;165.075118;165.075118
l107;"SRID=4326;LINESTRING(7.99288732000281 51.6837077158762,8.62480055555283 51.4278884079658)";0.333060897;566.2035247;1700;1;;566.2035247;566.2035247
l108;"SRID=4326;LINESTRING(7.06034476225792 51.6964980793073,7.35311188155085 51.5758105365035)";0.453082774;770.2407158;1700;1;;-770.2407158;770.2407158
l109;"SRID=4326;LINESTRING(7.12323886855291 51.5256121997715,7.06034476225792 51.6964980793073)";0.000148505;0.252458811;1700;1;;-0.252458811;0.252458811
l110;"SRID=4326;LINESTRING(7.06034476225792 51.6964980793073,7.03496796550368 52.2028607768236)";0.428230065;727.9911113;1700;1;;727.9911113;727.9911113
l111;"SRID=4326;LINESTRING(7.99288732000281 51.6837077158762,8.2117054289867 51.1779850077285)";0.367374453;624.5365699;1700;1;;624.5365699;624.5365699
l112;"SRID=4326;LINESTRING(6.57648211320418 51.0555954842661,6.77252314401924 51.1471055233119)";0.426942711;209.2019286;490;1;;209.2019286;209.2019286
l113;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,7.13689471769255 50.6428608849405)";0.5139104;874;1700;1;;873.6476793;873.6476793
l114;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,6.45655251893853 50.8713380734833)";0.117854368;200.3524252;1700;1;;-200.3524252;200.3524252
l115;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,7.86394571439194 50.7682419302039)";0.032579984;55.38597246;1700;1;;-55.38597246;55.38597246
l116;"SRID=4326;LINESTRING(6.32166521557731 50.8383474955825,6.16738172896202 50.8020443318383)";0.085996891;146.1947147;1700;1;;146.1947147;146.1947147
l117;"SRID=4326;LINESTRING(6.70219721289106 51.0088597430362,6.61240236819431 51.0359242961049)";0.122215302;207.7660133;1700;1;;207.7660133;207.7660133
l118;"SRID=4326;LINESTRING(7.17937918293452 51.4722019618656,7.12557294579876 51.4489772806916)";0.688178305;337.2073693;490;1;;337.2073693;337.2073693
l119;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,7.23319688909308 51.2325069074323)";0.288531908;490.5042438;1700;1;;490.5042438;490.5042438
l120;"SRID=4326;LINESTRING(6.30090126366431 50.8289532360211,6.45655251893853 50.8713380734833)";1;1700;1700;1;;1700;1700
l121;"SRID=4326;LINESTRING(7.13689471769255 50.6428608849405,7.44948701423191 50.4025259728409)";0.921274771;1,566;1700;1;;1566.16711;1566.16711
l122;"SRID=4326;LINESTRING(6.32166521557731 50.8383474955825,6.45655251893853 50.8713380734833)";0.086491455;147.0354738;1700;1;;-147.0354738;147.0354738
l123;"SRID=4326;LINESTRING(6.62582903685647 51.2606112581148,6.61240236819431 51.0359242961049)";0.205889364;100.8857884;490;1;;-100.8857884;100.8857884
l124;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,7.12308198261157 51.1715887959352)";0.112670896;191.5405239;1700;1;;-191.5405239;191.5405239
l125;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,6.70219721289106 51.0088597430362)";0.497232251;845.2948261;1700;1;;-845.2948261;845.2948261
l126;"SRID=4326;LINESTRING(6.80109337218585 51.1225390893163,7.00877917051357 51.1742549445955)";0.20103476;342;1700;1;;-341.7590919;341.7590919
l127;"SRID=4326;LINESTRING(6.84265069037124 50.8635385173748,6.70219721289106 51.0088597430362)";0.560039029;952.0663491;1700;1;;-952.0663491;952.0663491
l128;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,7.86394571439194 50.7682419302039)";0.032583337;55.3916732;1700;1;;-55.3916732;55.3916732
l129;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,6.80461624403732 50.9662477744576)";0.68646473;336.3677179;490;1;;-336.3677179;336.3677179
l130;"SRID=4326;LINESTRING(7.71862724482037 51.5342075253387,7.93077012209125 51.6729710114195)";0.627990278;1,068;1700;1;;1067.583472;1067.583472
l131;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,6.70219721289106 51.0088597430362)";0.497232251;845.2948261;1700;1;;-845.2948261;845.2948261
l132;"SRID=4326;LINESTRING(6.70219721289106 51.0088597430362,6.80109337218585 51.1225390893163)";0.069280056;117.7760955;1700;1;;117.7760955;117.7760955
l133;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,6.45655251893853 50.8713380734833)";0.117854368;200.3524252;1700;1;;-200.3524252;200.3524252
l134;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,7.44948701423191 50.4025259728409)";0.91591746;1,557;1700;1;;1557.059681;1557.059681
l135;"SRID=4326;LINESTRING(6.22183149094702 51.6946456455863,6.68079563463015 51.6462972769253)";0.102166656;50.06166157;490;1;;-50.06166157;50.06166157
l136;"SRID=4326;LINESTRING(7.00674991840299 51.5999114356605,7.06034476225792 51.6964980793073)";0.119841354;58.72226334;490;1;;58.72226334;58.72226334
l137;"SRID=4326;LINESTRING(7.03761992937395 51.5985496345954,6.68079563463015 51.6462972769253)";0.144282448;70.69839964;490;1;;70.69839964;70.69839964
l138;"SRID=4326;LINESTRING(6.61738115554636 51.4757909650564,6.65673523718494 51.3795236591475)";0.013376406;6.554438804;490;1;;-6.554438804;6.554438804
l139;"SRID=4326;LINESTRING(7.26408347971959 51.5735734400302,7.06034476225792 51.6964980793073)";0.395577118;193.8327877;490;1;;193.8327877;193.8327877
l140;"SRID=4326;LINESTRING(7.16721463545721 51.3899067765993,7.27894732573719 51.4722814207425)";0.229196278;112.3061763;490;1;;-112.3061763;112.3061763
l141;"SRID=4326;LINESTRING(7.18667757416348 51.5505890861964,7.12557294579876 51.4489772806916)";0.071067597;34.82312229;490;1;;34.82312229;34.82312229
l142;"SRID=4326;LINESTRING(6.62582903685647 51.2606112581148,6.70219721289106 51.0088597430362)";0.269139134;131.8781755;490;1;;-131.8781755;131.8781755
l143;"SRID=4326;LINESTRING(7.26408347971959 51.5735734400302,7.35135789785079 51.5683686345539)";0.087640633;42.94390999;490;1;;42.94390999;42.94390999
l144;"SRID=4326;LINESTRING(7.18667757416348 51.5505890861964,7.17937918293452 51.4722019618656)";0.499354887;244.6838945;490;1;;-244.6838945;244.6838945
l145;"SRID=4326;LINESTRING(7.26408347971959 51.5735734400302,7.16721463545721 51.3899067765993)";0.013787413;6.755832545;490;1;;6.755832545;6.755832545
l146;"SRID=4326;LINESTRING(6.93488872133436 51.033522366054,6.82804663323414 51.1626523772377)";0.033294715;16.3144103;490;1;;16.3144103;16.3144103
l147;"SRID=4326;LINESTRING(7.50597986222128 51.4016012425797,7.12557294579876 51.4489772806916)";0.514495425;252.1027583;490;1;;-252.1027583;252.1027583
l148;"SRID=4326;LINESTRING(7.03761992937395 51.5985496345954,7.12557294579876 51.4489772806916)";0.18478411;90.54421403;490;1;;-90.54421403;90.54421403
l149;"SRID=4326;LINESTRING(7.26408347971959 51.5735734400302,7.27894732573719 51.4722814207425)";0.299796007;146.9000436;490;1;;-146.9000436;146.9000436
l150;"SRID=4326;LINESTRING(7.18667757416348 51.5505890861964,7.12557294579876 51.4489772806916)";0.059020606;28.92009688;490;1;;28.92009688;28.92009688
l151;"SRID=4326;LINESTRING(7.50597986222128 51.4016012425797,7.12557294579876 51.4489772806916)";0.518446706;254.0388859;490;1;;-254.0388859;254.0388859
l152;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,6.70219721289106 51.0088597430362)";0.427707931;209.5768863;490;1;;-209.5768863;209.5768863
l153;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,6.84699935555237 51.2055917675691)";0.141750497;69.45774363;490;1;;69.45774363;69.45774363
l154;"SRID=4326;LINESTRING(7.19316581458292 50.7983350844101,7.04738454562441 50.9055286430507)";0.087139415;42.69831321;490;1;;-42.69831321;42.69831321
l155;"SRID=4326;LINESTRING(6.93488872133436 51.033522366054,6.96568445966487 51.0693295406357)";0.003623071;1.775304788;490;1;;-1.775304788;1.775304788
l156;"SRID=4326;LINESTRING(6.62582903685647 51.2606112581148,6.7097559453279 51.0909324851035)";0.343327516;168.2304828;490;1;;-168.2304828;168.2304828
l157;"SRID=4326;LINESTRING(7.19316581458292 50.7983350844101,7.86394571439194 50.7682419302039)";0.09589289;46.98751612;490;1;;-46.98751612;46.98751612
l158;"SRID=4326;LINESTRING(7.23319688909308 51.2325069074323,7.86394571439194 50.7682419302039)";0.009251716;15.72791711;1700;1;;-15.72791711;15.72791711
l159;"SRID=4326;LINESTRING(6.62582903685647 51.2606112581148,6.33000626218352 51.2429166388389)";0.515953019;252.8169792;490;1;;252.8169792;252.8169792
l160;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,7.50597986222128 51.4016012425797)";0.014794067;7.249092604;490;1;;7.249092604;7.249092604
l161;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,7.0235445515269 50.9990684211965)";0.559076653;273.94756;490;1;;273.94756;273.94756
l162;"SRID=4326;LINESTRING(7.19316581458292 50.7983350844101,7.86394571439194 50.7682419302039)";0.09589289;46.98751612;490;1;;-46.98751612;46.98751612
l163;"SRID=4326;LINESTRING(7.12308198261157 51.1715887959352,7.86394571439194 50.7682419302039)";0.112915914;191.9570531;1700;1;;191.9570531;191.9570531
l164;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,7.72438409063489 51.4093341491518)";0.21190505;103.8334747;490;1;;103.8334747;103.8334747
l165;"SRID=4326;LINESTRING(6.96568445966487 51.0693295406357,7.0235445515269 50.9990684211965)";0.559076653;273.94756;490;1;;273.94756;273.94756
l166;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,6.84223119628968 50.8598647273121)";0.190523403;93.35646733;490;1;;93.35646733;93.35646733
l167;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,7.19316581458292 50.7983350844101)";0.169600008;83.1040039;490;1;;83.1040039;83.1040039
l168;"SRID=4326;LINESTRING(7.0235445515269 50.9990684211965,7.04738454562441 50.9055286430507)";0.389271249;190.7429118;490;1;;190.7429118;190.7429118
l169;"SRID=4326;LINESTRING(7.0235445515269 50.9990684211965,7.04738454562441 50.9055286430507)";0.389271249;190.7429118;490;1;;190.7429118;190.7429118
l170;"SRID=4326;LINESTRING(6.97257748891579 50.795693016675,7.19316581458292 50.7983350844101)";0.169232607;82.92397766;490;1;;82.92397766;82.92397766
l171;"SRID=4326;LINESTRING(8.36422958832611 51.9271205112378,7.99288732000281 51.6837077158762)";0.790440997;1,344;1700;1;;-1343.749694;1343.749694
l172;"SRID=4326;LINESTRING(6.45655251893853 50.8713380734833,6.48812326066423 50.8810703279012)";0.005942512;10.10227028;1700;1;;-10.10227028;10.10227028
l173;"SRID=4326;LINESTRING(8.05408740677995 53.332302708936,8.47470705828713 53.4286512121137)";0.125519186;213.3826155;1700;1;;213.3826155;213.3826155
