l_id;wkt_srid_4326;;;;;;;;;;;
l1386;"SRID=4326;LINESTRING(8.44554253599103 48.9860882032815,8.45163254550249 49.0073972031011)";;;;;;;;;;l837;"SRID=4326;LINESTRING(9.52257601112577 52.3604090734199,9.11321011483187 52.5438533448625)"
l1528;"SRID=4326;LINESTRING(9.04741271801621 51.1677872449186,9.05036513764223 51.1673238667951)";;;;;;;;;;l838;"SRID=4326;LINESTRING(9.38974515063535 52.0263130791669,9.12526574244048 52.5382641233458)"
l1563;"SRID=4326;LINESTRING(7.41670797342798 51.4570521949625,7.41658270368128 51.4607824146291)";;;;;;;;;;l839;"SRID=4326;LINESTRING(10.366274939217 52.2846467643429,9.91814868737007 52.3799963378317)"
l1621;"SRID=4326;LINESTRING(7.98122158717143 51.6735262789774,7.98187840842773 51.6766515664854)";;;;;;;;;;l840;"SRID=4326;LINESTRING(9.9171797569037 52.2781686248742,10.366274939217 52.2846467643429)"
l1636;"SRID=4326;LINESTRING(8.65595014422814 50.6036046473842,9.25664124635274 51.0591793040546)";;;;;;;;;;l841;"SRID=4326;LINESTRING(10.4149924241538 53.4126068813272,10.3787706356666 53.2197927695925)"
;;;;;;;;;;;l842;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.2061030014846 52.6571363047161)"
;;;;;;;;;;;l843;"SRID=4326;LINESTRING(13.2061030014846 52.6571363047161,13.709669749528 52.5397952998981)"
;;;;;;;;;;;l844;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.709669749528 52.5397952998981)"
;;;;;;;;;;;l845;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.8132329291411 48.2212664672329)"
;;;;;;;;;;;l846;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.868156362746 48.206802931481)"
;;;;;;;;;;;l847;"SRID=4326;LINESTRING(10.7610404155909 52.3677293936344,10.366274939217 52.2846467643429)"
;;;;;;;;;;;l848;"SRID=4326;LINESTRING(13.4947634286677 52.5897644694349,13.6834769799404 54.1390906728297)"
;;;;;;;;;;;l849;"SRID=4326;LINESTRING(13.4947634286677 52.5897644694349,13.709669749528 52.5397952998981)"
;;;;;;;;;;;l850;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.868156362746 48.206802931481)"
;;;;;;;;;;;l851;"SRID=4326;LINESTRING(11.8132329291411 48.2212664672329,11.868156362746 48.206802931481)"
