v_id;wkt_srid_4326;Curtailment;;;;;;
n67;"SRID=4326;POINT(8.69516075602312 53.0925360847799)";98.8751825;;;;;n398;150.5187653
n68;"SRID=4326;POINT(8.77244296019056 49.974668665137)";0;;;;;n401;28.54062145
n69;"SRID=4326;POINT(8.41937105938048 49.6337356823792)";0;;;;;n402;373.9288345
n70;"SRID=4326;POINT(8.38855636787547 49.9823050841271)";0;;;;;n407;236.5982865
n71;"SRID=4326;POINT(12.2621734868101 51.7410202755519)";353.7252428;;;;;n408;481.0570313
n72;"SRID=4326;POINT(11.8942661378135 51.4057031412478)";0;;;;;n411;132.2808425
n73;"SRID=4326;POINT(13.1570904871893 51.8284516615019)";0;;;;;n412;2.025938611
n74;"SRID=4326;POINT(13.9024346886892 51.8747235190459)";494.9381271;;;;;n419;2723.774505
n75;"SRID=4326;POINT(11.5165549672107 51.5843592098734)";0;;;;;n420;1696.32594
n76;"SRID=4326;POINT(8.70221844882815 51.7363525828065)";0;;;;;n440;192.8877279
n77;"SRID=4326;POINT(8.99279240395088 51.343009397907)";0;;;;;n445;45.49101099
n78;"SRID=4326;POINT(11.6463786274424 50.534876971042)";0;;;;;n446;174.5371963
n79;"SRID=4326;POINT(14.4719654742998 51.5538127185923)";0;;;;;n447;354.4448093
n80;"SRID=4326;POINT(14.5081091811329 51.4137103812427)";0;;;;;n495;195.0798006
n81;"SRID=4326;POINT(14.4281804852225 51.8888641394403)";0;;;;;n10;0.418028697
n82;"SRID=4326;POINT(8.14191382633093 53.5640011680095)";61.73384175;;;;;n11;0.821066862
n83;"SRID=4326;POINT(10.1562824575947 54.2755482549913)";7.711961947;;;;;n12;3.33030203
n84;"SRID=4326;POINT(10.1773541034729 54.3395212638642)";4.5027675;;;;;n18;1.029611123
n85;"SRID=4326;POINT(7.03496796515083 52.2028607381056)";0;;;;;n22;5.706880995
n86;"SRID=4326;POINT(7.30820430094578 52.4768353862806)";0;;;;;n24;0.087415568
n87;"SRID=4326;POINT(7.06030699176008 51.6964760130648)";0;;;;;n25;0.656805288
n88;"SRID=4326;POINT(6.6746753206169 51.3249574728255)";0;;;;;n26;0.195065722
n89;"SRID=4326;POINT(6.72376714521247 51.3556543809247)";0;;;;;n28;4.908243731
n90;"SRID=4326;POINT(7.54571772261949 51.9703244223875)";0;;;;;n34;0.162017809
n91;"SRID=4326;POINT(7.30561448538174 52.4801491895706)";0;;;;;n35;0.11264064
n92;"SRID=4326;POINT(7.30433875539085 52.4824259958004)";0;;;;;n36;1.61934427
n93;"SRID=4326;POINT(7.27715391322869 52.7532425946802)";0;;;;;n37;0.52067085
n94;"SRID=4326;POINT(8.30775689679575 52.3456356447783)";0;;;;;n38;0.198684313
n95;"SRID=4326;POINT(7.88957671235007 52.2773967624078)";0;;;;;n39;2.850548875
n96;"SRID=4326;POINT(7.31784994377907 52.4691114902799)";0;;;;;n40;3.547789906
n98;"SRID=4326;POINT(12.2147735096776 54.1003234403618)";56.72628;;;;;n41;6.025769193
n99;"SRID=4326;POINT(6.99647659179489 49.3754093063084)";0;;;;;n42;0.442827994
n100;"SRID=4326;POINT(6.47473977006816 49.9224692993999)";0;;;;;n43;3.935550054
n101;"SRID=4326;POINT(11.6993926965362 53.5722744892702)";0;;;;;n44;0.244309494
n102;"SRID=4326;POINT(11.3706373688866 53.6009910848999)";0;;;;;n45;0.797526344
n103;"SRID=4326;POINT(6.94821343461115 51.4445789430072)";0;;;;;n46;0.335337078
n104;"SRID=4326;POINT(6.92675896360373 51.4992056838496)";0;;;;;n47;0.117049594
n105;"SRID=4326;POINT(6.68078798893986 51.6462959356851)";0;;;;;n48;0.445977703
n106;"SRID=4326;POINT(7.16721460965932 51.3899067582106)";0;;;;;n49;1.810351886
n107;"SRID=4326;POINT(7.1255729106725 51.4489772588145)";0;;;;;n50;2.823236615
n108;"SRID=4326;POINT(6.99606888010598 51.5141695891404)";0;;;;;n59;1.777529867
n109;"SRID=4326;POINT(7.31318284290137 51.4466113896128)";0;;;;;n60;0.693791668
n110;"SRID=4326;POINT(7.99288723332679 51.6837077155955)";0;;;;;n61;1.142601027
n111;"SRID=4326;POINT(8.62480052815036 51.4278883849265)";0;;;;;n67;1.313527918
n112;"SRID=4326;POINT(7.35311186939787 51.5758105020818)";0;;;;;n71;2.247597443
n113;"SRID=4326;POINT(7.12323882950453 51.5256121803004)";0;;;;;n74;2.073604918
n114;"SRID=4326;POINT(8.21170597594605 51.1779854801194)";0;;;;;n82;0.008315318
n115;"SRID=4326;POINT(6.57648208812114 51.0555954583116)";0;;;;;n98;1.144785071
n116;"SRID=4326;POINT(6.77252309438106 51.1471054906194)";0;;;;;n159;1.62485355
n117;"SRID=4326;POINT(6.97257742700703 50.795693017514)";0;;;;;n160;2.49409665
n118;"SRID=4326;POINT(7.13689469738717 50.6428608767133)";0;;;;;n161;2.422729692
n119;"SRID=4326;POINT(6.45655246642153 50.8713380368705)";0;;;;;n177;0.379913876
n120;"SRID=4326;POINT(7.86394571365263 50.7682419129404)";0;;;;;n180;2.688867273
n121;"SRID=4326;POINT(6.32166491493505 50.8383473627586)";0;;;;;n181;1.215759222
n122;"SRID=4326;POINT(6.16738169006425 50.8020442927138)";0;;;;;n192;3.523974862
n123;"SRID=4326;POINT(6.70220337779745 51.0088609096753)";0;;;;;n214;0.325846879
n124;"SRID=4326;POINT(6.61240231530956 51.0359242594819)";0;;;;;n217;0.669671268
n125;"SRID=4326;POINT(6.96568442352005 51.0693295322353)";0;;;;;n218;1.007959034
n126;"SRID=4326;POINT(7.23319684331545 51.2325069075148)";0;;;;;n221;3.31018036
n127;"SRID=4326;POINT(6.30090123786765 50.8289532122665)";0;;;;;n260;4.570000143
n128;"SRID=4326;POINT(7.44948529010545 50.4025276621126)";0;;;;;n270;4.955836676
n129;"SRID=4326;POINT(6.62582790177014 51.2606098249047)";0;;;;;n271;0.650746302
n130;"SRID=4326;POINT(7.12308195236379 51.1715887782054)";0;;;;;n272;4.700004954
n131;"SRID=4326;POINT(6.80109333956604 51.1225390518584)";0;;;;;n274;0.317214629
n132;"SRID=4326;POINT(7.00877914033175 51.1742549180397)";0;;;;;n285;12.43362825
n133;"SRID=4326;POINT(6.8426506615144 50.8635385008881)";0;;;;;n298;0.146363264
n134;"SRID=4326;POINT(6.80461158012622 50.9662452961379)";0;;;;;n299;1.444366949
n135;"SRID=4326;POINT(7.7186272145384 51.5342075115271)";0;;;;;n313;0.132818271
n136;"SRID=4326;POINT(7.93077008561427 51.6729710197069)";0;;;;;n346;0.34818306
n137;"SRID=4326;POINT(6.22183144595687 51.6946456422206)";0;;;;;n347;0.629191454
