v_id;wkt_srid_4326;Curtailment;;;;;;
n329;"SRID=4326;POINT(13.0027821071279 48.261968265807)";0;;;;;;
n330;"SRID=4326;POINT(12.2208353620671 48.5857329876532)";0;;;;;;
n331;"SRID=4326;POINT(12.7474442277007 48.1487558434787)";0;;;;;;
n332;"SRID=4326;POINT(13.1034346393158 48.6667929606034)";0;;;;;;
n333;"SRID=4326;POINT(9.19698235871826 54.8510986052119)";0;;;;;;
n334;"SRID=4326;POINT(11.193727795361 50.1622144406172)";0;;;;;;
n335;"SRID=4326;POINT(10.8360157547717 49.9280673897058)";0;;;;;;
n336;"SRID=4326;POINT(11.8107025453557 50.1837655260691)";0;;;;;;
n337;"SRID=4326;POINT(12.2968837896062 48.6069099225677)";0;;;;;;
n338;"SRID=4326;POINT(12.0822544456506 49.2974477669261)";0;;;;;;
n339;"SRID=4326;POINT(8.95368121281126 49.5674431691125)";0;;;;;;
n340;"SRID=4326;POINT(12.4696440085589 51.3716629493371)";0;;;;;;
n341;"SRID=4326;POINT(12.2488239057592 51.1978824277899)";0;;;;;;
n342;"SRID=4326;POINT(10.7346694298176 51.4401867580454)";0;;;;;;
n343;"SRID=4326;POINT(11.0049169149012 50.5074149690608)";0;;;;;;
n344;"SRID=4326;POINT(13.0025898987886 50.8659127196838)";0;;;;;;
n345;"SRID=4326;POINT(12.2428369226029 50.5674531670625)";0;;;;;;
n346;"SRID=4326;POINT(13.249028367237 52.5316238928337)";1.555935;;;;;;
n347;"SRID=4326;POINT(13.3155158513838 52.5219993683183)";0.629191454;;;;;;
n348;"SRID=4326;POINT(13.3686584616208 52.5031422115792)";0.415926329;;;;;;
n349;"SRID=4326;POINT(11.7924138446413 48.8382240226632)";0;;;;;;
n350;"SRID=4326;POINT(11.3269526751765 49.393473117636)";0;;;;;;
n351;"SRID=4326;POINT(11.5077305510922 48.7611239877457)";0;;;;;;
n352;"SRID=4326;POINT(11.8076056361242 48.4554267991033)";0;;;;;;
n353;"SRID=4326;POINT(11.5813705216127 48.7648940508515)";0;;;;;;
n354;"SRID=4326;POINT(11.6393121107521 48.1787834095237)";0;;;;;;
n356;"SRID=4326;POINT(6.21102031526762 49.9586257531557)";0;;;;;;
n360;"SRID=4326;POINT(6.77320783777607 49.2910742103854)";0;;;;;;
n363;"SRID=4326;POINT(7.50006173413631 51.535174092458)";0;;;;;;
n364;"SRID=4326;POINT(6.97593254033334 51.0376007284972)";0;;;;;;
n365;"SRID=4326;POINT(13.2428489964032 52.5349539946502)";0.162239451;;;;;;
n366;"SRID=4326;POINT(8.56218193445384 49.132949935954)";0;;;;;;
n367;"SRID=4326;POINT(8.4413154852023 49.2514026469585)";0;;;;;;
n368;"SRID=4326;POINT(7.94208128553147 47.6533415488354)";0;;;;;;
n369;"SRID=4326;POINT(9.06879105808819 53.5666414121342)";0;;;;;;
n370;"SRID=4326;POINT(6.7413761724965 49.3574919373628)";0;;;;;;
n371;"SRID=4326;POINT(6.74970009407096 49.3651763747607)";0;;;;;;
n372;"SRID=4326;POINT(6.76601564520935 49.3600771523749)";0;;;;;;
n373;"SRID=4326;POINT(12.1504016214021 49.0127518128214)";0;;;;;;
n374;"SRID=4326;POINT(7.5913598406626 51.928441667004)";0;;;;;;
n375;"SRID=4326;POINT(8.45154437251894 49.0074029130057)";0;;;;;;
n376;"SRID=4326;POINT(8.99620817966153 52.379587985752)";0;;;;;;
n377;"SRID=4326;POINT(9.56282337410874 48.7014898200493)";0;;;;;;
n378;"SRID=4326;POINT(9.37084541589578 48.7191233300187)";0;;;;;;
n379;"SRID=4326;POINT(9.37760577643558 48.812606857093)";0;;;;;;
n380;"SRID=4326;POINT(9.82158380229154 52.4248552546066)";0;;;;;;
n381;"SRID=4326;POINT(9.0762254363019 49.3633869626072)";0;;;;;;
n382;"SRID=4326;POINT(10.1602912689993 49.9891947837947)";0;;;;;;
n383;"SRID=4326;POINT(10.1964915719944 50.0279724033143)";0;;;;;;
n384;"SRID=4326;POINT(10.8431177989998 49.3786926858391)";0;;;;;;
n385;"SRID=4326;POINT(9.09051754868887 49.9700413735997)";0;;;;;;
n386;"SRID=4326;POINT(8.8139941935628 51.9834366294197)";0;;;;;;
n387;"SRID=4326;POINT(8.93221843866486 52.1933124298166)";0;;;;;;
n388;"SRID=4326;POINT(8.95904413219088 52.2784949764899)";0;;;;;;
n389;"SRID=4326;POINT(9.59430158866246 49.7984427303145)";0;;;;;;
n390;"SRID=4326;POINT(10.9729038959004 49.5585073756737)";0;;;;;;
n391;"SRID=4326;POINT(8.95464412133747 50.0860157333265)";0;;;;;;
n392;"SRID=4326;POINT(7.17590438914786 51.4755782506206)";0;;;;;;
n393;"SRID=4326;POINT(10.231641549556 48.5297622792522)";0;;;;;;
n394;"SRID=4326;POINT(10.2224539935941 48.7367522347984)";0;;;;;;
n395;"SRID=4326;POINT(9.64533503255392 47.7445961090448)";0;;;;;;
n396;"SRID=4326;POINT(10.4015868558303 48.5099297352537)";0;;;;;;
n397;"SRID=4326;POINT(8.80962330905886 50.2034748086043)";0;;;;;;
n398;"SRID=4326;POINT(9.72460611042234 54.2882702503445)";150.5187653;;;;;;
n399;"SRID=4326;POINT(9.09714220939812 48.8277618380686)";0;;;;;;
n400;"SRID=4326;POINT(8.62886493303814 51.9936340707213)";0;;;;;;
n401;"SRID=4326;POINT(10.0604081018258 54.3487708201584)";28.54062145;;;;;;
n402;"SRID=4326;POINT(9.44963652666114 53.967286497351)";373.9288345;;;;;;
n403;"SRID=4326;POINT(8.25885994832776 47.6342116213731)";0;;;;;;
n406;"SRID=4326;POINT(8.86152575255362 47.8064353220893)";0;;;;;;
n408;"SRID=4326;POINT(10.8023579660248 53.8975474102628)";481.0570313;;;;;;
n409;"SRID=4326;POINT(9.21565014323537 48.8523053231829)";0;;;;;;
n410;"SRID=4326;POINT(10.4012813869114 48.5146084080517)";0;;;;;;
n411;"SRID=4326;POINT(8.73757268935919 51.7001692737445)";132.2808425;;;;;;
n412;"SRID=4326;POINT(10.6414677086397 53.9191626884641)";2.025938611;;;;;;
n413;"SRID=4326;POINT(8.67371728898445 49.2904393851271)";0;;;;;;
n414;"SRID=4326;POINT(9.48789502699389 53.6365577623199)";0;;;;;;
n415;"SRID=4326;POINT(9.49151079250535 53.6580982806881)";0;;;;;;
n418;"SRID=4326;POINT(13.7106901040113 48.5193051606747)";0;;;;;;
n419;"SRID=4326;POINT(6.02502872785802 54.3540286881643)";2723.774505;;;;;;
n420;"SRID=4326;POINT(6.02503294993986 54.3549329471359)";1696.32594;;;;;;
n421;"SRID=4326;POINT(9.09183529743294 49.2946188662059)";0;;;;;;
n422;"SRID=4326;POINT(8.66378315807233 49.3600873718872)";0;;;;;;
n423;"SRID=4326;POINT(7.95849127307054 47.5791483196323)";0;;;;;;
n424;"SRID=4326;POINT(8.34912612288763 49.0130521177978)";0;;;;;;
n425;"SRID=4326;POINT(10.4203895577612 52.1652004276784)";0;;;;;;
n426;"SRID=4326;POINT(10.3884721771883 52.1513649329361)";0;;;;;;
n427;"SRID=4326;POINT(8.30626265141083 49.0128258362562)";0;;;;;;
n428;"SRID=4326;POINT(14.4598868223649 51.8332759246019)";0;;;;;;
n429;"SRID=4326;POINT(6.21619297137216 50.9123617956925)";0;;;;;;
n431;"SRID=4326;POINT(6.2140153990158 50.9438998573728)";0;;;;;;
n433;"SRID=4326;POINT(11.2777210418419 47.4958726669837)";0;;;;;;
n434;"SRID=4326;POINT(11.2869438320852 47.4928624569052)";0;;;;;;
n435;"SRID=4326;POINT(13.5053368398164 52.4747788520482)";0.090998359;;;;;;
n436;"SRID=4326;POINT(8.46542980021065 48.0435236210637)";0;;;;;;
n437;"SRID=4326;POINT(8.53055554991256 47.9148481845625)";0;;;;;;
n438;"SRID=4326;POINT(8.24872901623214 48.8463165189067)";0;;;;;;
n439;"SRID=4326;POINT(8.24975045659741 48.8491773731136)";0;;;;;;
n440;"SRID=4326;POINT(9.45967747872262 53.8646574512707)";192.8877279;;;;;;
n441;"SRID=4326;POINT(11.4703941249156 50.9303902294723)";0;;;;;;
n442;"SRID=4326;POINT(11.4299065773025 50.9114464610955)";0;;;;;;
n443;"SRID=4326;POINT(7.25465688214231 53.0266716315927)";0;;;;;;
n444;"SRID=4326;POINT(7.25501773539194 53.0267136928067)";0;;;;;;
n445;"SRID=4326;POINT(7.37185639416872 52.1977066547834)";45.49101099;;;;;;
n446;"SRID=4326;POINT(13.399828840425 53.7944477778114)";174.5371963;;;;;;
n447;"SRID=4326;POINT(13.3984708281663 53.7933318754816)";354.4448093;;;;;;
n448;"SRID=4326;POINT(7.42474524551043 51.4592583943398)";0;;;;;;
n449;"SRID=4326;POINT(7.12336046768833 51.4473443869048)";0;;;;;;
n450;"SRID=4326;POINT(7.41670791195847 51.4570521583476)";0;;;;;;
n451;"SRID=4326;POINT(7.41658261384975 51.4607823586596)";0;;;;;;
n452;"SRID=4326;POINT(6.53175001008574 50.39005126464)";0;;;;;;
n453;"SRID=4326;POINT(6.53303653131644 50.3922427776709)";0;;;;;;
n454;"SRID=4326;POINT(6.60879226770999 51.0346787720857)";0;;;;;;
n455;"SRID=4326;POINT(6.80890624663756 51.2686075940546)";0;;;;;;
n456;"SRID=4326;POINT(6.72033167479422 51.3441235773954)";0;;;;;;
n457;"SRID=4326;POINT(7.13937473425833 51.5608313916517)";0;;;;;;
n458;"SRID=4326;POINT(7.41946378046051 51.4575100936229)";0;;;;;;
n459;"SRID=4326;POINT(7.19597933005019 51.4115753148661)";0;;;;;;
n460;"SRID=4326;POINT(7.17920262035811 51.4218244823956)";0;;;;;;
n461;"SRID=4326;POINT(7.32427958320741 51.6213874676194)";0;;;;;;
n462;"SRID=4326;POINT(7.34371334412713 51.6131049439167)";0;;;;;;
n463;"SRID=4326;POINT(6.52272548882226 51.3224954692993)";0;;;;;;
n464;"SRID=4326;POINT(6.96330545403678 50.8337629177582)";0.015453069;;;;;;
n465;"SRID=4326;POINT(6.92909269080674 50.8441529722133)";0;;;;;;
n466;"SRID=4326;POINT(7.09582671880563 50.8268716757217)";0;;;;;;
n467;"SRID=4326;POINT(7.09435790958289 50.8269670893312)";0;;;;;;
n468;"SRID=4326;POINT(6.57729057687864 51.5563911802085)";0;;;;;;
n469;"SRID=4326;POINT(6.65066741434228 51.5537022721424)";0;;;;;;
n470;"SRID=4326;POINT(7.82599043340792 51.7500675542728)";0;;;;;;
n471;"SRID=4326;POINT(6.9289790539233 50.84381694694)";0.004774405;;;;;;
n472;"SRID=4326;POINT(7.9939591196577 51.823095434189)";0;;;;;;
n473;"SRID=4326;POINT(7.83402074322725 51.7550403464858)";0;;;;;;
n474;"SRID=4326;POINT(9.14517687189382 52.8532464360106)";0;;;;;;
n475;"SRID=4326;POINT(9.13794792584036 52.8470269944345)";0;;;;;;
n476;"SRID=4326;POINT(8.31888925383353 52.0660374597241)";0;;;;;;
n477;"SRID=4326;POINT(8.33466775124759 52.07052004268)";0;;;;;;
n478;"SRID=4326;POINT(7.9818783185962 51.6766515664854)";0;;;;;;
n479;"SRID=4326;POINT(9.92382983732643 51.8975617615529)";0;;;;;;
n480;"SRID=4326;POINT(9.8524162497002 51.8987652474175)";0;;;;;;
n481;"SRID=4326;POINT(9.4136812208929 52.0274828920508)";0;;;;;;
n482;"SRID=4326;POINT(10.3552149923206 52.1758109606876)";0;;;;;;
n483;"SRID=4326;POINT(10.7027318899547 47.8264597977002)";0;;;;;;
n484;"SRID=4326;POINT(10.7037422782749 47.826415980499)";0;;;;;;
n485;"SRID=4326;POINT(10.1949334440241 47.9709368782958)";0;;;;;;
n486;"SRID=4326;POINT(10.6412867739286 48.0274512409907)";0;;;;;;
n487;"SRID=4326;POINT(10.6418025411196 48.0258492685192)";0;;;;;;
n488;"SRID=4326;POINT(8.67009921732699 49.3092022842852)";0;;;;;;
n489;"SRID=4326;POINT(9.22808874457675 51.8124533663924)";0;;;;;;
n490;"SRID=4326;POINT(9.23187002273009 51.810119094224)";0;;;;;;
n491;"SRID=4326;POINT(10.2341629653667 48.5289320393823)";0;;;;;;
n492;"SRID=4326;POINT(8.73513573367143 50.1591915403542)";0;;;;;;
n493;"SRID=4326;POINT(8.87225963914833 50.1297253197387)";0;;;;;;
n494;"SRID=4326;POINT(8.74326052934848 50.1623379810729)";0;;;;;;
n495;"SRID=4326;POINT(9.33223016559803 54.7210227584184)";195.0798006;;;;;;
n500;"SRID=4326;POINT(9.383 55.797)";0;;;;;;
n501;"SRID=4326;POINT(14.913 59.625)";0;;;;;;
n502;"SRID=4326;POINT(17.651 52.421)";0;;;;;;
n503;"SRID=4326;POINT(14.54 49.736)";0;;;;;;
n504;"SRID=4326;POINT(14.009 47.264)";0;;;;;;
n505;"SRID=4326;POINT(8.134 46.573)";0;;;;;;
n506;"SRID=4326;POINT(3.003 47.211)";0;;;;;;
n507;"SRID=4326;POINT(6.0371 49.7131)";0;;;;;;
n508;"SRID=4326;POINT(5.339 52.006)";0;;;;;;
