l_id;v_id_1;v_id_2;wkt_srid_4326;1;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
290;159;221;"SRID=4326;LINESTRING(8.05408735442182 53.3323026933898,7.31136229105814 53.1257665563186)";;380000;3;2;50;;TenneT;304;57405;0.05;0.5;6.85;1.3;1637160
291;159;221;"SRID=4326;LINESTRING(8.05408735442182 53.3323026933898,7.31136229105814 53.1257665563186)";;380000;3;2;50;;TenneT;304;57397;0.05;0.5;6.85;1.3;1637161
292;34;161;"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.05283751634017 53.3338809598955)";;220000;3;2;50;204 rot;TenneT;204;33166;0.08;0.32;11.5;1.3;1637162
293;222;221;"SRID=4326;LINESTRING(6.94948397153705 53.1235378223082,7.31136229105814 53.1257665563186)";;380000;6;2;50;Diele (DE) - Meeden (NL);TenneT;306;26834;0.025;0.25;13.7;2.6;1637163
294;34;161;"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.05283751634017 53.3338809598955)";;220000;3;2;50;204 blau;TenneT;204;33170;0.08;0.32;11.5;1.3;1637164
295;211;52;"SRID=4326;LINESTRING(7.23579344536789 49.3693923629482,8.3133401659254 49.0090434643525)";;380000;3;;50;Kaiserslautern Süd;Amprion;;152120;;;;;1638847
296;215;223;"SRID=4326;LINESTRING(8.40826973550855 49.5285689245626,8.27327814618118 49.0293980916396)";;220000;3;;50;Weingarten Ltg;Amprion;;73707;;;;;1638848
297;224;215;"SRID=4326;LINESTRING(8.3523338799966 49.4212743386606,8.40826973550855 49.5285689245626)";;220000;3;;50;Roxheim Süd;Amprion;;28868;;;;;1638849
298;225;224;"SRID=4326;LINESTRING(7.72920197913641 49.4826474297682,8.3523338799966 49.4212743386606)";;220000;3;;50;Eisbach Süd;Amprion;;63539;;;;;1638851
299;224;223;"SRID=4326;LINESTRING(8.3523338799966 49.4212743386606,8.27327814618118 49.0293980916396)";;220000;3;;50;Bienwald West;Amprion;;46981;;;;;1638852
300;226;6;"SRID=4326;LINESTRING(9.79733602695253 52.0008392513306,9.91814864613865 52.3799963125719)";;220000;3;1;50;Leitung 2001/2030;TenneT;2001/2030;48552;0.16;0.64;5.75;0.65;1639492
301;7;3;"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,9.38974509624863 52.0263130660355)";;380000;3;4;50;Leitung 3027;TenneT;3027;53907;0.025;0.25;13.7;2.6;1639494
302;216;227;"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,10.0821573264928 48.2660901578788)";;380000;3;4;50;Donau Ost;Amprion;;114939;0.025;0.25;13.7;2.6;1641461
303;228;229;"SRID=4326;LINESTRING(8.62716125806072 49.5435952670263,8.50180851652818 49.4449115114399)";;220000;3;;50;Bergstraße;Amprion;;15950;;;;;1641462
304;227;230;"SRID=4326;LINESTRING(10.0821573264928 48.2660901578788,10.391776056934 48.5184609117668)";;380000;3;4;50;Günzburg Süd;Amprion;;46070;0.025;0.25;13.7;2.6;1641463
305;231;53;"SRID=4326;LINESTRING(7.95805402328778 47.5954722640613,7.75349546540486 48.0993557006259)";;380000;6;4;50;Rheingraben;Amprion;;83096;0.0125;0.125;27.4;5.2;1641466
306;232;233;"SRID=4326;LINESTRING(10.0837512706734 48.268867515302,9.88551509756969 48.3040743584705)";;220000;3;;50;Iller Ltg.;Amprion;;19756;;;;;1641467
307;234;235;"SRID=4326;LINESTRING(9.01340238045655 47.8453486310857,8.25192548128222 47.6397698264894)";;220000;3;;50;Gurtweil - Stockach;Amprion;;69709;;;;;1641471
308;236;214;"SRID=4326;LINESTRING(9.19675652645089 48.9129634380259,8.5471609252134 49.4405396661002)";;220000;3;;50;Nord-Süd-Leitung RWE Hoheneck–Rheinau;Amprion;;86251;;;;;1641472
309;227;230;"SRID=4326;LINESTRING(10.0821573264928 48.2660901578788,10.391776056934 48.5184609117668)";;380000;3;4;50;Günzburg Nord;Amprion;;46128;0.025;0.25;13.7;2.6;1641474
310;233;227;"SRID=4326;LINESTRING(9.88551509756969 48.3040743584705,10.0821573264928 48.2660901578788)";;380000;3;4;50;Donau West;Amprion;;16751;0.025;0.25;13.7;2.6;1641476
311;237;238;"SRID=4326;LINESTRING(6.13981113770544 49.6686086456422,6.62053556843084 49.7489386710632)";;220000;3;2;;Heisdorf - Trier Süd;Amprion;;39816;0.08;0.32;11.5;1.3;1641479
312;110;198;"SRID=4326;LINESTRING(7.99288723332679 51.6837077155955,7.9706568937083 51.6768446667846)";;380000;3;4;50;Westfalen E;Amprion;;2163;0.025;0.25;13.7;2.6;1703681
313;212;100;"SRID=4326;LINESTRING(6.81368431456473 49.7248340737293,6.47473977006816 49.9224692993999)";;380000;3;4;;Gilzem Ost;Amprion;;45951;0.025;0.25;13.7;2.6;1641482
314;100;239;"SRID=4326;LINESTRING(6.47473977006816 49.9224692993999,6.70228540768092 49.8289944201161)";;220000;3;2;;Niederstedem Ost;Amprion;;26324;0.08;0.32;11.5;1.3;1641485
315;238;100;"SRID=4326;LINESTRING(6.62053556843084 49.7489386710632,6.47473977006816 49.9224692993999)";;220000;3;2;;Niederstedem West;Amprion;;22939;0.08;0.32;11.5;1.3;1641488
316;213;240;"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.53151493939883 50.047874332134)";;220000;;;50;Marxheim Ost;Amprion;;25189;;;;;1641698
317;241;242;"SRID=4326;LINESTRING(8.4713716330449 50.0972077427754,8.06573796639762 50.4060681118621)";;380000;3;4;50;Hessen Ost;Amprion;;56963;0.025;0.25;13.7;2.6;1641699
318;70;241;"SRID=4326;LINESTRING(8.38855636787547 49.9823050841271,8.4713716330449 50.0972077427754)";;380000;3;4;50;Trebur Süd;Amprion;;18920;0.025;0.25;13.7;2.6;1641702
319;70;241;"SRID=4326;LINESTRING(8.38855636787547 49.9823050841271,8.4713716330449 50.0972077427754)";;380000;3;4;50;Trebur Nord;Amprion;;44127;0.025;0.25;13.7;2.6;1641706
320;243;244;"SRID=4326;LINESTRING(8.5372190281928 50.078085046277,8.54248113429862 50.0959883485051)";;220000;3;;50;Chlor West;Amprion;;3284;;;;;1641722
321;243;244;"SRID=4326;LINESTRING(8.5372190281928 50.078085046277,8.54248113429862 50.0959883485051)";;220000;3;;50;Chlor Ost;Amprion;;3284;;;;;1641723
322;68;213;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.58869049603326 49.8155140579794)";;220000;;;50;Pfungstadt Ost;Amprion;;34375;;;;;1641734
323;68;213;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.58869049603326 49.8155140579794)";;220000;3;;50;Kranichstein Ost;Amprion;;34375;;;;;1641735
324;68;245;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.98953614977701 50.0602550608281)";;380000;3;4;50;Untermain Nord;Amprion;;20861;0.025;0.25;13.7;2.6;1641756
325;245;246;"SRID=4326;LINESTRING(8.98953614977701 50.0602550608281,8.95870856177306 50.0826078105489)";;380000;3;4;50;Untermain Süd;Amprion;;4447;0.025;0.25;13.7;2.6;1641757
326;68;246;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.95870856177306 50.0826078105489)";;380000;3;4;50;Karlstein Süd;Amprion;;23705;0.025;0.25;13.7;2.6;1641761
327;232;247;"SRID=4326;LINESTRING(10.0837512706734 48.268867515302,10.363384232266 47.7383368092793)";;220000;3;4;50;Füssen West;Amprion;;73168;0.04;0.16;23;2.6;1641774
328;247;227;"SRID=4326;LINESTRING(10.363384232266 47.7383368092793,10.0821573264928 48.2660901578788)";;380000;3;4;50;Vöhringen Ost;Amprion;;73219;0.025;0.25;13.7;2.6;1641775
329;248;208;"SRID=4326;LINESTRING(7.46150025901999 51.6146143079042,7.4035444340631 51.644449487967)";;380000;3;4;50;Stummhafen 1A;Amprion;;5866;0.025;0.25;13.7;2.6;1659072
330;112;208;"SRID=4326;LINESTRING(7.35311186939787 51.5758105020818,7.4035444340631 51.644449487967)";;380000;3;4;50;Mengede Süd;Amprion;;10355;0.025;0.25;13.7;2.6;1659073
331;167;165;"SRID=4326;LINESTRING(7.52228010104186 51.5321980552231,7.70831848872651 51.6762033088437)";;220000;3;2;50;Wambel West;Amprion;;25186;0.08;0.32;11.5;1.3;1685857
332;165;249;"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.71823231962748 51.6743422007117)";;380000;3;4;50;Gersteinwerk K2;Amprion;;1221;0.025;0.25;13.7;2.6;1686082
333;165;250;"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.71554341949648 51.6736430744508)";;220000;3;2;50;Gersteinwerk F2;Amprion;;485;0.08;0.32;11.5;1.3;1686885
334;165;251;"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.71459453349968 51.6730996381138)";;220000;3;2;50;Gersteinwerk G2;Amprion;;487;0.08;0.32;11.5;1.3;1686886
335;165;252;"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.71270093431027 51.672663662233)";;220000;3;2;50;Gersteinwerk I2;Amprion;;401;0.08;0.32;11.5;1.3;1686887
336;110;253;"SRID=4326;LINESTRING(7.99288723332679 51.6837077155955,7.98122159643085 51.6735262619046)";;380000;3;4;50;Lippborg Trafo 412;Amprion;;1378;0.025;0.25;13.7;2.6;1703456
337;69;254;"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,7.79256714933307 49.8105487811028)";;220000;3;1;50;Windesheim;Amprion;;64037;0.16;0.64;5.75;0.65;1734958
338;128;255;"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,6.92013045452502 49.9705818904706)";;220000;3;;50;Kondelwald;Amprion;;73500;;;;;1735055
339;237;239;"SRID=4326;LINESTRING(6.13981113770544 49.6686086456422,6.70228540768092 49.8289944201161)";;220000;3;2;;Heisdorf - Quint Nord;Amprion;;50055;0.08;0.32;11.5;1.3;1735096
340;256;238;"SRID=4326;LINESTRING(6.75552340556687 49.3648695914696,6.62053556843084 49.7489386710632)";;220000;3;1;;Saar Nord;Amprion;;59101;0.16;0.64;5.75;0.65;1735138
341;69;215;"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)";;220000;3;2;50;Anilin 3c;Amprion;;13164;0.08;0.32;11.5;1.3;1737369
342;69;215;"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)";;220000;3;2;50;Anilin 4d;Amprion;;13157;0.08;0.32;11.5;1.3;1737370
343;69;257;"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.41467459584413 49.7091468139245)";;380000;3;4;50;Biblis 1a;Amprion;;10838;0.025;0.25;13.7;2.6;1737371
344;69;257;"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.41467459584413 49.7091468139245)";;380000;3;4;50;Biblis 2b;Amprion;;10824;0.025;0.25;13.7;2.6;1737372
345;69;225;"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,7.72920197913641 49.4826474297682)";;220000;3;4;50;Roxheim Nord;Amprion;;66410;0.04;0.16;23;2.6;1737381
346;258;259;"SRID=4326;LINESTRING(9.88280429847019 51.5155074976724,9.85139357253472 51.6491352399809)";;220000;3;2;50;Leitung 2014;TenneT;2;15315;0.08;0.32;11.5;1.3;1740850
347;260;190;"SRID=4326;LINESTRING(8.78579302528601 48.5837674015328,8.87294280487974 48.3100912582216)";;380000;3;;50;OBJTT-ENGST 380 kV;;;33840;;;;;1747957
348;260;261;"SRID=4326;LINESTRING(8.78579302528601 48.5837674015328,9.0454349679866 48.9029620137561)";;380000;3;;50;PULVE-OBJTT 380 kV;EnBW Transportnetze AG;;45580;;;;;1747958
349;262;263;"SRID=4326;LINESTRING(9.8013171668981 47.6525043240978,9.81091689214732 47.142645296653)";;380000;6;4;;Bürs - Obermooweiler;;;78450;0.0125;0.125;27.4;5.2;1750798
350;264;263;"SRID=4326;LINESTRING(9.42551238607291 48.0643507981263,9.81091689214732 47.142645296653)";;220000;3;1;;Nord-Süd-Leitung (Abschnitt Bürs-Herbertingen);;;132974;0.16;0.64;5.75;0.65;1750800
351;94;265;"SRID=4326;LINESTRING(8.30775689679575 52.3456356447783,8.10495957410199 52.2642613740358)";;220000;3;2;50;Bohmte West;Amprion;;21123;0.08;0.32;11.5;1.3;1778832
352;14;266;"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,12.1301906295374 47.9131654820025)";;220000;6;2;;;;"250;251";51446;0.04;0.16;23;2.6;1820695
353;116;267;"SRID=4326;LINESTRING(6.77252309438106 51.1471054906194,6.8018236570969 51.1247880606241)";;220000;3;2;50;Norf Ost;Amprion;;3267;0.08;0.32;11.5;1.3;1897790
354;116;267;"SRID=4326;LINESTRING(6.77252309438106 51.1471054906194,6.8018236570969 51.1247880606241)";;220000;3;2;50;Norf West;Amprion;;2955;0.08;0.32;11.5;1.3;1897791
355;151;116;"SRID=4326;LINESTRING(6.70967369516713 51.0909407427733,6.77252309438106 51.1471054906194)";;220000;3;2;50;Zons Nord;Amprion;;10958;0.08;0.32;11.5;1.3;1897792
356;111;114;"SRID=4326;LINESTRING(8.62480052815036 51.4278883849265,8.21170597594605 51.1779854801194)";;380000;3;4;50;Sauerland Süd;Amprion;;50867;0.025;0.25;13.7;2.6;1906209
357;77;111;"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,8.62480052815036 51.4278883849265)";;380000;3;4;50;Twistetal Ost 3;Amprion;;33318;0.025;0.25;13.7;2.6;2050530
358;77;111;"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,8.62480052815036 51.4278883849265)";;380000;3;4;50;Twistetal West 4;Amprion;;33322;0.025;0.25;13.7;2.6;2050531
359;268;120;"SRID=4326;LINESTRING(7.98506745761923 50.8422254447013,7.86394571365263 50.7682419129404)";;220000;3;2;50;Siegerland West;Amprion;;15774;0.08;0.32;11.5;1.3;2137096
360;269;120;"SRID=4326;LINESTRING(8.284861778672 50.7590735194915,7.86394571365263 50.7682419129404)";;380000;3;4;50;Westerwald Ost 2;"Amprion;TenneT";;75879;0.025;0.25;13.7;2.6;2137098
361;270;271;"SRID=4326;LINESTRING(7.22423842685352 53.3499271468647,7.20605284001418 53.3413192541639)";;220000;3;2;50;;TenneT;2021;1562;0.08;0.32;11.5;1.3;2140374
362;35;36;"SRID=4326;LINESTRING(8.08565059715704 53.605834192587,8.06005695814032 53.6202025750861)";;220000;3;2;50;;TenneT;;2641;0.08;0.32;11.5;1.3;2141066
363;272;273;"SRID=4326;LINESTRING(9.31819523638713 54.7160494089748,9.27063390877085 55.0370264816237)";;220000;3;1;50;Kassø (DK) - Flensburg (DE) 220 kV;"Energinet.dk;TenneT";;39544;0.16;0.64;5.75;0.65;2143451
364;272;274;"SRID=4326;LINESTRING(9.31819523638713 54.7160494089748,9.43342930362242 55.0187229179606)";;220000;3;1;50;Flensburg (DE) - Ensted (DK);"Energinet.dk;TenneT";;35433;0.16;0.64;5.75;0.65;2143452
365;128;275;"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,7.43348911422107 50.4365195361077)";;220000;3;2;50;Bandstahlwerk Tr201;Amprion;;5234;0.08;0.32;11.5;1.3;2147236
366;128;276;"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,7.59330184856855 50.3859437917469)";;380000;3;4;50;Metternich;Amprion;;16953;0.025;0.25;13.7;2.6;2147303
367;34;277;"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.12215702005755 53.5658323292485)";;220000;3;1;50;;TenneT;;627;0.16;0.64;5.75;0.65;2155389
368;34;35;"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.08565059715704 53.605834192587)";;220000;3;2;50;;TenneT;;5844;0.08;0.32;11.5;1.3;2155415
369;37;39;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.7273534150745 52.5689469938591)";;380000;3;3;50;490;50Hertz;490;37592;0.033333;0.333333;10.275;1.95;2188188
370;20;22;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)";;380000;3;4;50;Brunsbüttel - Hamburg/Nord;;H;57421;0.025;0.25;13.7;2.6;2189200
371;20;21;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)";;380000;3;2;50;Hamburg/Ost - Hamburg/Nord;50Hertz;B;31281;0.05;0.5;6.85;1.3;2189657
372;37;278;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.5615074728142 52.1238924527264)";;220000;3;2;50;329;50Hertz Transmission;329;20287;0.08;0.32;11.5;1.3;2237835
373;37;278;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.5615074728142 52.1238924527264)";;220000;3;2;50;330;50Hertz Transmission;330;20290;0.08;0.32;11.5;1.3;2237836
374;37;42;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,12.1869848227216 53.8157751724384)";;220000;3;2;50;332;50Hertz Transmission;332;194536;0.08;0.32;11.5;1.3;2237880
375;37;42;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,12.1869848227216 53.8157751724384)";;220000;3;2;50;331;50Hertz Transmission;331;194590;0.08;0.32;11.5;1.3;2237881
376;177;218;"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,12.2135605440795 54.1119998545154)";;220000;3;2;50;318;50Hertz Transmission;318;65497;0.08;0.32;11.5;1.3;2238161
377;182;180;"SRID=4326;LINESTRING(14.4762521006827 53.1967495480613,14.270834670665 53.0962865535819)";;220000;3;2;50;220kV Krajnik - Vierraden;"PSE-O;50Hertz";508;26206;0.08;0.32;11.5;1.3;2239286
378;279;280;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.3823233828996 51.3559961579888)";;380000;3;4;50;572;50Hertz;572;83080;0.025;0.25;13.7;2.6;2247028
379;279;280;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.3823233828996 51.3559961579888)";;380000;3;4;50;571;50Hertz;571;83072;0.025;0.25;13.7;2.6;2247029
380;279;281;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,12.0449825161601 50.7812567340735)";;220000;3;3;50;207;50Hertz Transmission;207;98493;0.053333;0.213333;17.25;1.95;2247304
381;279;282;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,12.5182220968156 51.1570725850832)";;220000;3;;50;203;50Hertz Transmission;203;51665;;;;;2247305
382;282;281;"SRID=4326;LINESTRING(12.5182220968156 51.1570725850832,12.0449825161601 50.7812567340735)";;220000;3;2;50;208;50Hertz Transmission;208;67674;0.08;0.32;11.5;1.3;2247306
383;279;78;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,11.6463786274424 50.534876971042)";;380000;3;;50;Remptendorf - Röhrsdorf;50Hertz Transmission;474;103557;;;;;2247333
384;279;281;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,12.0449825161601 50.7812567340735)";;380000;3;;50;Weida - Röhrsdorf;50Hertz Transmission;575;61777;;;;;2247334
385;78;281;"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,12.0449825161601 50.7812567340735)";;380000;3;;50;Remptendorf - Weida;50Hertz Transmission;573;45665;;;;;2247335
386;283;284;"SRID=4326;LINESTRING(8.48009523461158 50.5909204313802,8.65659923594081 50.6055491256016)";;380000;3;4;50;;TenneT;;13388;0.025;0.25;13.7;2.6;2252482
387;285;161;"SRID=4326;LINESTRING(8.08162670615254 52.858637484526,8.05283751634017 53.3338809598955)";;220000;3;1;50;;TenneT;206;55571;0.16;0.64;5.75;0.65;2277544
388;285;161;"SRID=4326;LINESTRING(8.08162670615254 52.858637484526,8.05283751634017 53.3338809598955)";;220000;3;1;50;;TenneT;206;55571;0.16;0.64;5.75;0.65;2277545
389;270;161;"SRID=4326;LINESTRING(7.22423842685352 53.3499271468647,8.05283751634017 53.3338809598955)";;220000;3;2;50;203 weiß;TenneT;203;57109;0.08;0.32;11.5;1.3;2312879
390;270;161;"SRID=4326;LINESTRING(7.22423842685352 53.3499271468647,8.05283751634017 53.3338809598955)";;220000;3;2;50;203;TenneT;203;57123;0.08;0.32;11.5;1.3;2312880
391;258;286;"SRID=4326;LINESTRING(9.88280429847019 51.5155074976724,9.56710201161841 51.3252573276817)";;220000;3;2;50;Leitung 2013;TenneT;1;32534;0.08;0.32;11.5;1.3;2317630
392;258;286;"SRID=4326;LINESTRING(9.88280429847019 51.5155074976724,9.56710201161841 51.3252573276817)";;220000;3;2;50;Leitung 2013;TenneT;2;32535;0.08;0.32;11.5;1.3;2317631
393;94;95;"SRID=4326;LINESTRING(8.30775689679575 52.3456356447783,7.88957671235007 52.2773967624078)";;220000;3;2;50;Wiehengebirge Ost;Amprion;;61576;0.08;0.32;11.5;1.3;2450379
394;265;95;"SRID=4326;LINESTRING(8.10495957410199 52.2642613740358,7.88957671235007 52.2773967624078)";;220000;3;4;50;Westerkappeln Nord;Amprion;;18365;0.04;0.16;23;2.6;2450498
395;265;95;"SRID=4326;LINESTRING(8.10495957410199 52.2642613740358,7.88957671235007 52.2773967624078)";;220000;3;4;50;Westerkappeln Süd;Amprion;;18365;0.04;0.16;23;2.6;2450499
396;95;287;"SRID=4326;LINESTRING(7.88957671235007 52.2773967624078,7.74679248425685 52.2885115081219)";;220000;3;2;50;Ibbenbüren B;Amprion;;10449;0.08;0.32;11.5;1.3;2553276
397;63;288;"SRID=4326;LINESTRING(8.12076909802284 48.7048354259965,7.91072928612534 48.5012882982432)";;220000;3;2;50;;EnBW;BUEHL-WEIER;28872;0.08;0.32;11.5;1.3;2553837
398;289;95;"SRID=4326;LINESTRING(7.7257063478071 52.2771949017405,7.88957671235007 52.2773967624078)";;220000;3;1;50;Nike Süd;Amprion;;13105;0.16;0.64;5.75;0.65;2573771
399;8;102;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,11.3706373688866 53.6009910848999)";;380000;3;4;50;;50Hertz;419;87218;0.025;0.25;13.7;2.6;2910798
400;8;101;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,11.6993926965362 53.5722744892702)";;380000;3;4;;;50Hertz;420;111170;0.025;0.25;13.7;2.6;2910799
401;80;290;"SRID=4326;LINESTRING(14.5081091811329 51.4137103812427,14.2192282929357 51.120707992198)";;380000;3;;50;;50Hertz;551;46125;;;;;2927579
402;80;290;"SRID=4326;LINESTRING(14.5081091811329 51.4137103812427,14.2192282929357 51.120707992198)";;380000;3;;50;;50Hertz;552;46116;;;;;2927580
403;80;291;"SRID=4326;LINESTRING(14.5081091811329 51.4137103812427,14.5700865498873 51.4190136844256)";;380000;3;3;50;;;MQ;5989;0.033333;0.333333;10.275;1.95;2927597
404;80;291;"SRID=4326;LINESTRING(14.5081091811329 51.4137103812427,14.5700865498873 51.4190136844256)";;380000;3;3;50;;;MR;6169;0.033333;0.333333;10.275;1.95;2927598
405;80;291;"SRID=4326;LINESTRING(14.5081091811329 51.4137103812427,14.5700865498873 51.4190136844256)";;380000;3;3;50;;;MN;6702;0.033333;0.333333;10.275;1.95;2927599
406;80;291;"SRID=4326;LINESTRING(14.5081091811329 51.4137103812427,14.5700865498873 51.4190136844256)";;380000;3;3;50;;;MP;6554;0.033333;0.333333;10.275;1.95;2927600
407;278;292;"SRID=4326;LINESTRING(11.5615074728142 52.1238924527264,11.6441811001256 51.908512873438)";;220000;3;1;50;;50Hertz;335;26902;0.16;0.64;5.75;0.65;2928064
408;278;292;"SRID=4326;LINESTRING(11.5615074728142 52.1238924527264,11.6441811001256 51.908512873438)";;220000;3;1;50;;50Hertz;336;26897;0.16;0.64;5.75;0.65;2928066
409;37;292;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.6441811001256 51.908512873438)";;380000;3;3;50;;50Hertz;438;48851;0.033333;0.333333;10.275;1.95;2928164
410;292;74;"SRID=4326;LINESTRING(11.6441811001256 51.908512873438,13.9024346886892 51.8747235190459)";;380000;3;3;50;532;50Hertz;532;179494;0.033333;0.333333;10.275;1.95;2928165
411;292;74;"SRID=4326;LINESTRING(11.6441811001256 51.908512873438,13.9024346886892 51.8747235190459)";;380000;3;3;50;531;50Hertz;531;179483;0.033333;0.333333;10.275;1.95;2928166
412;37;292;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.6441811001256 51.908512873438)";;380000;3;3;50;;50Hertz;437;48774;0.033333;0.333333;10.275;1.95;2928167
413;78;293;"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,11.4746908222742 50.6040154814218)";;220000;3;2;50;;50Hertz;383;16091;0.08;0.32;11.5;1.3;2952529
414;78;293;"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,11.4746908222742 50.6040154814218)";;220000;3;2;50;;50Hertz;384;16123;0.08;0.32;11.5;1.3;2952531
415;78;294;"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,10.9910146333086 50.573526990181)";;380000;3;3;50;;50Hertz;463;50416;0.033333;0.333333;10.275;1.95;2952534
416;78;294;"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,10.9910146333086 50.573526990181)";;380000;3;3;50;;50Hertz;464;50381;0.033333;0.333333;10.275;1.95;2952535
417;199;248;"SRID=4326;LINESTRING(7.44506930371379 51.6185000869374,7.46150025901999 51.6146143079042)";;220000;3;2;50;Lünen 7;RWE;;2349;0.08;0.32;11.5;1.3;3028644
418;5;295;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.5054991208047 52.3018379056382)";;220000;3;1;50;Leitung 2025;TenneT;2;10721;0.16;0.64;5.75;0.65;3098194
419;1;2;"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)";;220000;3;2;50;Leitung 2016;TenneT;2016;43375;0.08;0.32;11.5;1.3;3109536
420;4;296;"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11362795987411 52.5457924749284)";;380000;3;4;50;;TenneT;;1387;0.025;0.25;13.7;2.6;3109537
421;4;296;"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11362795987411 52.5457924749284)";;380000;3;4;50;Leitung 3004;TenneT;;1117;0.025;0.25;13.7;2.6;3109538
422;2;201;"SRID=4326;LINESTRING(9.11321007472722 52.5438533223737,9.25103425143703 53.1144323051271)";;220000;3;2;50;Leitung 2010/2023;TenneT;2;76503;0.08;0.32;11.5;1.3;3109602
423;3;4;"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)";;380000;3;4;50;Leitung 3011;TenneT;;72681;0.025;0.25;13.7;2.6;3109630
424;5;297;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.3692300485918 52.1670924338554)";;220000;3;2;50;Leitung 2028/2029;TenneT;3;16053;0.08;0.32;11.5;1.3;3113413
425;5;298;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.4195406346214 52.2369606619834)";;220000;3;2;50;Leitung 2028;TenneT;2;6656;0.08;0.32;11.5;1.3;3113414
426;297;299;"SRID=4326;LINESTRING(10.3692300485918 52.1670924338554,10.0876467999739 52.3151305547947)";;220000;3;2;50;Leitung 2027;TenneT;1;30700;0.08;0.32;11.5;1.3;3113438
427;61;161;"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.05283751634017 53.3338809598955)";;220000;3;2;50;201 grün;TenneT;201;35150;0.08;0.32;11.5;1.3;3114809
428;5;6;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)";;220000;3;2;50;Leitung 2024;TenneT;1;33882;0.08;0.32;11.5;1.3;3115297
429;117;123;"SRID=4326;LINESTRING(6.97257742700703 50.795693017514,6.70220337779745 51.0088609096753)";;380000;3;4;50;Ville Ost;Amprion;;33941;0.025;0.25;13.7;2.6;3228400
