l_id;v_id_1;v_id_2;wkt_srid_4326;1;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
187;112;164;"SRID=4326;LINESTRING(7.35311186939787 51.5758105020818,7.33861258614081 51.6319781250427)";;380000;3;4;50;Datteln West;Amprion;;10045;0.025;0.25;13.7;2.6;1109593
188;112;165;"SRID=4326;LINESTRING(7.35311186939787 51.5758105020818,7.70831848872651 51.6762033088437)";;380000;3;4;50;Mengede Nord;Amprion;;34595;0.025;0.25;13.7;2.6;1109595
189;166;165;"SRID=4326;LINESTRING(7.61702099509812 51.6371337640588,7.70831848872651 51.6762033088437)";;380000;3;4;50;Bergkamen A;Amprion;;15207;0.025;0.25;13.7;2.6;1109596
190;112;164;"SRID=4326;LINESTRING(7.35311186939787 51.5758105020818,7.33861258614081 51.6319781250427)";;380000;3;4;50;Datteln Ost;Amprion;;10019;0.025;0.25;13.7;2.6;1109599
191;167;165;"SRID=4326;LINESTRING(7.52228010104186 51.5321980552231,7.70831848872651 51.6762033088437)";;220000;3;2;50;Wambel Ost;Amprion;;25175;0.08;0.32;11.5;1.3;1109600
192;168;104;"SRID=4326;LINESTRING(6.90660779028721 51.5652424465435,6.92675896360373 51.4992056838496)";;380000;3;4;50;Essen West;Amprion;;14743;0.025;0.25;13.7;2.6;1109607
193;138;104;"SRID=4326;LINESTRING(7.00674987859998 51.5999114220203,6.92675896360373 51.4992056838496)";;220000;3;2;50;Scholven E;Amprion;;24437;0.08;0.32;11.5;1.3;1109609
194;139;104;"SRID=4326;LINESTRING(7.03761988504233 51.5985496311832,6.92675896360373 51.4992056838496)";;220000;3;2;50;Buer Süd;Amprion;;16157;0.08;0.32;11.5;1.3;1109610
195;104;169;"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.96734393053748 51.4908618864265)";;220000;3;2;50;LMG West;Amprion;;3433;0.08;0.32;11.5;1.3;1109616
196;104;169;"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.96734393053748 51.4908618864265)";;220000;3;2;50;LMG Ost;Amprion;;3427;0.08;0.32;11.5;1.3;1109619
197;168;105;"SRID=4326;LINESTRING(6.90660779028721 51.5652424465435,6.68078798893986 51.6462959356851)";;380000;3;4;50;Lippe Süd;Amprion;;42401;0.025;0.25;13.7;2.6;1116357
198;104;170;"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.87287359352087 51.4457833372124)";;220000;3;2;50;Osterfeld West;Amprion;;8909;0.08;0.32;11.5;1.3;1123975
199;104;170;"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.87287359352087 51.4457833372124)";;220000;3;1;50;Osterfeld Ost;Amprion;;8837;0.16;0.64;5.75;0.65;1123976
200;138;87;"SRID=4326;LINESTRING(7.00674987859998 51.5999114220203,7.06030699176008 51.6964760130648)";;380000;3;4;50;Scholven B;Amprion;;13676;0.025;0.25;13.7;2.6;1128366
201;171;89;"SRID=4326;LINESTRING(6.86804496307922 51.3744747805902,6.72376714521247 51.3556543809247)";;220000;3;4;50;Meerbusch Ost;Amprion;;16654;0.04;0.16;23;2.6;1141433
202;119;158;"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.48812326381716 50.8810703125704)";;380000;3;4;50;Hambach 1a;Amprion;;4315;0.025;0.25;13.7;2.6;1167325
203;105;172;"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.78752251671348 51.505550100013)";;220000;3;4;50;Dinslaken West;Amprion;;19072;0.04;0.16;23;2.6;1167326
204;123;173;"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.62284323546559 51.258713368098)";;380000;3;4;50;Knechtsteden West;Amprion;;30309;0.025;0.25;13.7;2.6;1167329
205;119;158;"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.48812326381716 50.8810703125704)";;380000;3;4;50;Hambach 2b;Amprion;;4315;0.025;0.25;13.7;2.6;1167330
206;105;174;"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.81216588075166 51.5196200118095)";;220000;3;2;50;Sterkrade Nord;Amprion;;20117;0.08;0.32;11.5;1.3;1167333
207;37;39;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.7273534150745 52.5689469938591)";;380000;3;4;50;489;50Hertz;489;37603;0.025;0.25;13.7;2.6;1173397
208;129;175;"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.72031000055597 51.3915325380171)";;220000;3;2;50;Stratum Ost;Amprion;;19857;0.08;0.32;11.5;1.3;1174140
209;129;176;"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.54240844257145 51.2994458149911)";;220000;3;2;50;Fichtenhain West;Amprion;;8599;0.08;0.32;11.5;1.3;1174142
