v_id;wkt_srid_4326;Average price 24;Average price 100;;;;;
n56;"SRID=4326;POINT(8.62320967451897 49.3565822492832)";441.242264;1126.587231;;;;n278;31.128519
n57;"SRID=4326;POINT(8.44554248929306 48.9860881753906)";246.800756;1223.428307;;;;n285;358.4296405
n58;"SRID=4326;POINT(8.64158406338239 48.8900524832355)";246.800756;1223.428307;;;;n288;0.570339
n59;"SRID=4326;POINT(8.56374399744213 53.0317215835514)";-181.3562928;-106.2275075;;;;n295;3.86844208
n60;"SRID=4326;POINT(8.47470704898602 53.4286511943138)";-167.6303535;-123.9353597;;;;n298;10.5026
n61;"SRID=4326;POINT(8.51888180951659 53.2026352836834)";-194.1712348;-89.6949342;;;;n299;11.67331814
n62;"SRID=4326;POINT(8.82002487241632 53.1073882918815)";34.26949946;9.417227421;;;;n301;34.79402704
n63;"SRID=4326;POINT(8.12076909802284 48.7048354259965)";1421.368372;1399.023774;;;;n313;20.53366478
n64;"SRID=4326;POINT(11.4407746483177 48.1718035473026)";332.8424666;970.4295838;;;;n322;0.10395
n66;"SRID=4326;POINT(12.1147644054101 49.6311550521523)";43.9757287;57.52026738;;;;n346;1.555935
n67;"SRID=4326;POINT(8.69516075602312 53.0925360847799)";-185.0255064;-101.4938503;;;;n398;150.5187653
n68;"SRID=4326;POINT(8.77244296019056 49.974668665137)";181.6120892;804.8895688;;;;n401;28.54062145
n69;"SRID=4326;POINT(8.41937105938048 49.6337356823792)";368.712933;562.7168638;;;;n402;373.9288345
n70;"SRID=4326;POINT(8.38855636787547 49.9823050841271)";267.4379137;693.8014965;;;;n407;236.5982865
n71;"SRID=4326;POINT(12.2621734868101 51.7410202755519)";-138.677988;-214.5421724;;;;n408;481.0570313
n72;"SRID=4326;POINT(11.8942661378135 51.4057031412478)";-79.02128141;172.2200928;;;;n411;132.2808425
n73;"SRID=4326;POINT(13.1570904871893 51.8284516615019)";-136.1012116;133.9777327;;;;n412;2.025938611
n74;"SRID=4326;POINT(13.9024346886892 51.8747235190459)";-164.1751569;115.1687762;;;;n419;2723.774505
n75;"SRID=4326;POINT(11.5165549672107 51.5843592098734)";-95.80237869;97.1125816;;;;n420;1696.32594
n76;"SRID=4326;POINT(8.70221844882815 51.7363525828065)";29.0846069;579.3095206;;;;n440;192.8877279
n77;"SRID=4326;POINT(8.99279240395088 51.343009397907)";56.71271005;744.3820122;;;;n445;45.49101099
n78;"SRID=4326;POINT(11.6463786274424 50.534876971042)";71.63140572;522.7648428;;;;n446;174.5371963
n79;"SRID=4326;POINT(14.4719654742998 51.5538127185923)";-99.45372969;5.206946533;;;;n447;354.4448093
n80;"SRID=4326;POINT(14.5081091811329 51.4137103812427)";-86.88467966;27.54370277;;;;n495;195.0798006
n81;"SRID=4326;POINT(14.4281804852225 51.8888641394403)";-134.9706173;-57.91095487;;;;n10;0.418028697
n82;"SRID=4326;POINT(8.14191382633093 53.5640011680095)";-155.3318751;-143.0593216;;;;n11;0.821066862
n83;"SRID=4326;POINT(10.1562824575947 54.2755482549913)";-129.6672836;33.99186447;;;;n12;3.33030203
n84;"SRID=4326;POINT(10.1773541034729 54.3395212638642)";-129.6672836;33.99186447;;;;n18;1.029611123
n85;"SRID=4326;POINT(7.03496796515083 52.2028607381056)";-18.41978609;24.26601958;;;;n22;5.706880995
n86;"SRID=4326;POINT(7.30820430094578 52.4768353862806)";-72.63890518;-42.96804257;;;;n24;0.087415568
n87;"SRID=4326;POINT(7.06030699176008 51.6964760130648)";41.85797879;51.43356866;;;;n25;0.656805288
n88;"SRID=4326;POINT(6.6746753206169 51.3249574728255)";123.1154811;121.6769563;;;;n26;0.195065722
n89;"SRID=4326;POINT(6.72376714521247 51.3556543809247)";102.266301;137.9119804;;;;n28;4.908243731
n90;"SRID=4326;POINT(7.54571772261949 51.9703244223875)";-3.721089954;203.3627556;;;;n34;0.162017809
n91;"SRID=4326;POINT(7.30561448538174 52.4801491895706)";-72.63890518;-42.96804257;;;;n35;0.11264064
n92;"SRID=4326;POINT(7.30433875539085 52.4824259958004)";-72.63890518;-42.96804257;;;;n36;1.61934427
n93;"SRID=4326;POINT(7.27715391322869 52.7532425946802)";-72.63890518;-42.96804257;;;;n37;0.52067085
n94;"SRID=4326;POINT(8.30775689679575 52.3456356447783)";-67.8338981;1202.41856;;;;n38;0.198684313
n95;"SRID=4326;POINT(7.88957671235007 52.2773967624078)";-96.14119239;790.0808774;;;;n39;2.850548875
n96;"SRID=4326;POINT(7.31784994377907 52.4691114902799)";-72.63890518;-42.96804257;;;;n40;3.547789906
n98;"SRID=4326;POINT(12.2147735096776 54.1003234403618)";-153.7865554;-132.4729715;;;;n41;6.025769193
n99;"SRID=4326;POINT(6.99647659179489 49.3754093063084)";-2.845627943;1047.400041;;;;n42;0.442827994
n100;"SRID=4326;POINT(6.47473977006816 49.9224692993999)";6.135539429;2889.121775;;;;n43;3.935550054
n101;"SRID=4326;POINT(11.6993926965362 53.5722744892702)";-150;49.52514978;;;;n44;0.244309494
n102;"SRID=4326;POINT(11.3706373688866 53.6009910848999)";-144.7227815;837.4291334;;;;n45;0.797526344
n103;"SRID=4326;POINT(6.94821343461115 51.4445789430072)";57.52728041;72.64157476;;;;n46;0.335337078
n104;"SRID=4326;POINT(6.92675896360373 51.4992056838496)";50.33337634;81.27825179;;;;n47;0.117049594
n105;"SRID=4326;POINT(6.68078798893986 51.6462959356851)";41.44705502;134.1550993;;;;n48;0.445977703
n106;"SRID=4326;POINT(7.16721460965932 51.3899067582106)";88.96034869;286.0587898;;;;n49;1.810351886
n107;"SRID=4326;POINT(7.1255729106725 51.4489772588145)";43.48397017;-105.1748371;;;;n50;2.823236615
n108;"SRID=4326;POINT(6.99606888010598 51.5141695891404)";43.48397017;-105.1748371;;;;n59;1.777529867
n109;"SRID=4326;POINT(7.31318284290137 51.4466113896128)";-30.84749719;402.6773119;;;;n60;0.693791668
n110;"SRID=4326;POINT(7.99288723332679 51.6837077155955)";34.91931131;411.5570677;;;;n61;1.142601027
n111;"SRID=4326;POINT(8.62480052815036 51.4278883849265)";51.86061371;670.2816521;;;;n67;1.313527918
n112;"SRID=4326;POINT(7.35311186939787 51.5758105020818)";-6.12908166;369.0301519;;;;n71;2.247597443
n113;"SRID=4326;POINT(7.12323882950453 51.5256121803004)";118.4807829;1041.943532;;;;n74;2.073604918
n114;"SRID=4326;POINT(8.21170597594605 51.1779854801194)";44.57281345;558.983651;;;;n82;0.008315318
n115;"SRID=4326;POINT(6.57648208812114 51.0555954583116)";38.45793592;32.37733936;;;;n98;1.144785071
